Split,Accuracy,F1 macro,F1 HIGH,F1 MEDIUM,F1 LOW
CIC+UNSW val (in-distribution),0.999556596670292,0.9989433671375799,0.9997714763282122,0.9995564394969165,0.9975021855876108
TII-SSRC-23 (cross-dataset),0.8593389700230591,0.4621744522529971,,,0.9243489045059942
