metric,model,mean,std
accuracy,RandomForest,0.9990228328472643,5.830074416358394e-05
f1_macro,RandomForest,0.9973897014324994,0.00015887705514723701
precision_macro,RandomForest,0.9964682483747108,0.0003839668077767959
recall_macro,RandomForest,0.9983194053249813,0.00014750071914775448
accuracy,XGBoost,0.999534841547197,4.952433523287189e-05
f1_macro,XGBoost,0.9988374412758644,0.0001063441292888181
precision_macro,XGBoost,0.9986168903494945,0.00016441927851854196
recall_macro,XGBoost,0.9990584928716739,8.056216010485368e-05
